Railroad,Region,Bridge Prefix,Bridge Separator,Format Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois Central,Dodgeville-Jonesdale,V-,.,"IC bridges on the Dodgeville-Red Oak branch are named with as ""V-[Number].[Suffix]"", where the number and suffix form the nearest tenth-mile mile post on the division.  Mile posts begin at Red Oak and increase towards Dodgeville.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal,,,Original,(shared),,,(culvert),(bridge),,,,,,,,,,(universal),,,First Rebuild,,,,,,,,,,,,,,,,,,Further Rebuilds continue cycle,,,,,,,,,,,,,,,,,
Number,Lat,Long,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date
V-57.4,42.96424,-90.1307,B,D.P.G.,61.2,16,,2,B,O.D.F.T.,97,16,-1,O.D.F.T.,67,16,-1,1888,Rebuilt,6/27/1940,,D.P.G. CREO. P.,,,,,,,,,,,,,,6/27/1940,Removed,8/17/1942,,,,,,,,,,,,,,,,,,
V-56.7,42.96081,-90.11929,B,STO. Bx.,4,2,,-1,N,,,,,,,,,1888,Removed,8/17/1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-56.5,42.9587,-90.11489,B,S.B.D.T. CREO.,40,12,,-1,N,,,,,,,,,1914,Removed,8/17/1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-56.1,42.95392,-90.11043,B,O.D.F.T.,476,60,,-1,N,,,,,,,,,1898,Removed,8/17/1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-55.7,42.95089,-90.10536,B,O.D. FRAME,336,58,,-1,N,,,,,,,,,1899,Removed,8/17/1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-55.6,42.94959,-90.10225,B,B.D.R.T. CREO.,110,26,,-1,N,,,,,,,,,1916,Removed,8/17/1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-55.2,42.94884,-90.09519,B,STD. AR.,4,12,,-1,N,,,,,,,,,1888,Removed,8/17/1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-55.1,42.94832,-90.09384,B,D.P.G. PILE PIERS,30,30,,1,B,B.D.P.T.,82,30,-1,B.D.P.T.-CREO. P.,72,30,-1,1917,Removed,8/17/1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-53.8,42.93255,-90.08451,B,O.D.F.T.,479,38,,36,N,,,,,,,,,1887,Rebuilt,1920,,P.D.F.T. CREO. P.,,,,,,,,,,,,,,1920,Removed,8/17/1942,,,,,,,,,,,,,,,,,,
V-53.7,42.9307,-90.08477,B,O.H. HWY.,50,21.9,,-1,N,,,,,,,,,1902,Removed,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
