Railroad,Region,Bridge Prefix,Number Divider,Format Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago & North Western,Galena-Cuba City,Bridge , ,"C&NW bridges are named with as ""Bridge [Number] [Suffix]"", where the number is assigned incrementally along the trackage.  Numbers initially are assigned integers, with spurs being given a letter suffix appended to the number of the next-lowest bridge number before the junction.  Bridges added after the initial assignment are given a fractional suffix denoting their placement between two bridges, such as Bridge 1450 1/2 being added between Bridge 1450 and Bridge 1451.  Further additions work by placing another fraction halfway between the relevant bridge numbers, such as 1450 3/4 between 1450 1/2 and 1451.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal,,,Original,(shared),,,(culvert),(bridge),,,,,,,,,,(universal),,,First Rebuild,,,,,,,,,,,,,,,,,,Further Rebuilds continue cycle,,,,,,,,,,,,,,,,,
Number,Lat,Long,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date
Bridge 1450,42.540064,-90.375658,B,P.R.S.,64,-1,,1,N,,,,,,,,,pre-1917,Removed,11/30/1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1450 1/2,42.535809,-90.376592,C,W.B.C.,18,16,18,,,,,,,,,,,pre-1917,Removed,11/30/1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1451,42.532987,-90.37749,B,P.B.,15.6,-1,,1,N,,,,,,,,,pre-1917,Removed,5/30/1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1452,42.530087,-90.378563,B,I.B.,8.5,-1,,1,N,,,,,,,,,pre-1917,Removed,5/30/1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1453,42.528865,-90.379038,B,P.B.,16,-1,,1,N,,,,,,,,,pre-1917,Removed,5/30/1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1454,42.524838,-90.380649,B,P.B.,39.5,-1,,3,N,,,,,,,,,pre-1917,Removed,5/30/1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1455,42.520434,-90.381838,B,P.R.S.,65.25,-1,,1,N,,,,,,,,,pre-1917,Removed,5/30/1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1457,42.515294,-90.380762,B,P.B.,15.9,-1,,1,N,,,,,,,,,pre-1917,Removed,5/30/1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1458,42.513591,-90.381276,C,W.B.C.,40,18,18,,,,,,,,,,,pre-1917,Removed,5/29/1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1459,42.51294,-90.381808,B,X,-1,-1,,1,N,,,,,,,,,pre-1911,Removed,May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1435,42.576671,-90.395912,B,F.B.,72.7,-1,,5,N,,,,,,,,,pre-1917,Rebuilt,8/22/1917,B,P.B.,89.25,,,7,N,,,,,,,,,8/22/1917,Abandoned,1968,,,,,,,,,,,,,,,,,,
Bridge 1426,42.599641,-90.4159,B,P.B.,51.8,-1,,4,N,,,,,,,,,pre-1917,Rebuilt,1920,B,P.B.,65,,,5,N,,,,,,,,,1920,Rebuilt,Feb-50,,,,,,,,,,,,,,,,Feb-50,Abandoned,1968
Bridge 1450 C,42.537143,-90.370554,B,P.R.S.,80,-1,,1,H,,,,,P.B.,125,,7,1917,Removed,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1498,42.417696,-90.420749,B,T.R.S.,175,-1,,1,B,P.B.,8.1,-1,1,P.R.S.,75,-1,1,pre-1917,Removed,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1496,42.419936,-90.41129,B,P.B.,15.7,-1,,1,N,,,,,,,,,pre-1917,Rebuilt,Sep-32,B,P.B.,-1,,,2,N,,,,,,,,,Sep-32,Abandoned,1939,,,,,,,,,,,,,,,,,,
Bridge 1950 B,42.537928,-90.374373,B,I.B.,80,-1,,1,N,,,,,,,,,1917,Removed,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1437,42.573425,-90.390835,B,P.B.,6.4,-1,,1,N,,,,,,,,,pre-1917,Rebuilt,Jul-27,C,Conc. P.,32,,48,,,,,,,,,,,Jul-27,Abandoned,1968,,,,,,,,,,,,,,,,,,
